word	module	band	note
따라서	m85	7	부 (C)
더욱	m85	7	부 (C)
일단	m85	7	一旦 (C)
달리	m85	7	부 (C)
다만	m85	7	부 (C)
결코	m85	7	決- (C)
실제로	m85	7	實際- (C)
과연	m85	7	果然 (C)
도대체	m85	7	都大體 (C)
다소	m85	7	多少 (C)
그저	m85	7	부 (C)
그리하여	m85	7	부 (C)
앞서	m85	7	부 (C)
때로	m85	7	부 (C)
널리	m85	7	부 (C)
비로소	m85	7	부 (C)
아예	m85	7	부 (C)
어찌	m85	7	부 (C)
상당히	m85	7	相當- (C)
참으로	m85	7	부 (C)
대체로	m85	7	大體- (C)
문득	m85	7	부 (C)
대개	m85	7	大槪 (C)
사실상	m85	7	事實上 (C)
끊임없이	m85	7	부 (C)
아울러	m85	7	부 (C)
서서히	m85	7	徐徐- (C)
그나마	m85	7	부 (C)
그야말로	m85	7	부 (C)
워낙	m85	7	부 (C)
실로	m85	7	實- (C)
그녀	m85	7	-女 (C)
그이	m85	7	대 (C)
자네	m85	7	대 (C)
놈	m85	7	의 (C)
원인	m86	7	原因 (C)
근거	m86	7	根據 (C)
탓	m86	7	명 (C)
바탕	m86	7	명 (C)
영향	m86	7	影響 (C)
작용	m86	7	作用 (C)
작용하다	m86	7	作用- (C)
인하다	m86	7	因- (C)
비하다	m86	7	比- (C)
불구하다	m86	7	不拘- (C)
비롯하다	m86	7	동 (C)
비롯되다	m86	7	동 (C)
대책	m86	7	對策 (C)
방안	m86	7	方案 (C)
여건	m86	7	與件 (C)
사정	m86	7	事情 (C)
형편	m86	7	形便 (C)
처지	m86	7	處地 (C)
실정	m86	7	實情 (C)
반응	m86	7	反應 (C)
요구	m86	7	要求 (C)
당하다	m86	7	當- (C)
피해	m86	7	被害 (C)
부담	m86	7	負擔 (C)
압력	m86	7	壓力 (C)
위기	m86	7	危機 (C)
우려	m86	7	憂慮 (C)
결론	m86	7	結論 (C)
필요성	m86	7	必要性 (C)
해당하다	m86	7	該當- (C)
의존하다	m86	7	依存- (C)
듯	m87	7	의 (C)
듯하다	m87	7	보 (C)
만하다	m87	7	보 (C)
셈	m87	7	의 (C)
나름	m87	7	의 (C)
마련	m87	7	의 (C)
바	m87	7	의 (C)
아니하다	m87	7	보 (C)
지경	m87	7	地境 (C)
여기다	m87	7	동 (C)
여겨지다	m87	7	동 (C)
뜻하다	m87	7	동 (C)
판단하다	m87	7	判斷- (C)
평가	m87	7	評價 (C)
평가하다	m87	7	評價- (C)
인식하다	m87	7	認識- (C)
의식	m87	7	意識 (C)
의식하다	m87	7	意識- (C)
관점	m87	7	觀點 (C)
시각	m87	7	視角 (C)
견해	m87	7	見解 (C)
논리	m87	7	論理 (C)
상식	m87	7	常識 (C)
의문	m87	7	疑問 (C)
진실	m87	7	眞實 (C)
진리	m87	7	眞理 (C)
관념	m87	7	觀念 (C)
이념	m87	7	理念 (C)
가치	m87	7	價値 (C)
소중하다	m87	7	所重- (C)
올바르다	m87	7	형 (C)
바람직하다	m87	7	형 (C)
적절하다	m87	7	適切- (C)
삶	m88	7	명 (C)
과정	m88	7	過程 (C)
단계	m88	7	段階 (C)
시기	m88	7	時期 (C)
시점	m88	7	時點 (C)
초기	m88	7	初期 (C)
직후	m88	7	直後 (C)
이래	m88	7	以來 (C)
흐름	m88	7	명 (C)
전환	m88	7	轉換 (C)
회복	m88	7	回復 (C)
운명	m88	7	運命 (C)
인연	m88	7	因緣 (C)
짝	m88	7	~이 맞다 (C)
한마디	m88	7	명 (C)
움직임	m88	7	명 (C)
겪다	m88	7	동 (C)
거치다	m88	7	동 (C)
깨닫다	m88	7	동 (C)
살아오다	m88	7	동 (C)
살아가다	m88	7	동 (C)
지니다	m88	7	동 (C)
갖추다	m88	7	동 (C)
잇다	m88	7	동 (C)
이어지다	m88	7	동 (C)
나아가다	m88	7	동 (C)
머물다	m88	7	동 (C)
유지하다	m88	7	維持- (C)
지켜보다	m88	7	동 (C)
애쓰다	m88	7	동 (C)
이룩하다	m88	7	동 (C)
흔들리다	m88	7	동 (C)
무너지다	m88	7	동 (C)
수준	m89	7	水準 (C)
규모	m89	7	規模 (C)
범위	m89	7	範圍 (C)
평균	m89	7	平均 (C)
단위	m89	7	單位 (C)
대형	m89	7	大型 (C)
대규모	m89	7	大規模 (C)
비중	m89	7	比重 (C)
균형	m89	7	均衡 (C)
증가	m89	7	增加 (C)
증가하다	m89	7	增加- (C)
줄어들다	m89	7	동 (C)
상당하다	m89	7	相當- (C)
엄청나다	m89	7	형 (C)
거대하다	m89	7	巨大- (C)
위대하다	m89	7	偉大- (C)
뛰어나다	m89	7	형 (C)
못지않다	m89	7	형 (C)
불과하다	m89	7	不過- (C)
드물다	m89	7	형 (C)
흔하다	m89	7	형 (C)
풍부하다	m89	7	豊富- (C)
강력하다	m89	7	强力- (C)
일정하다	m89	7	一定- (C)
완전하다	m89	7	完全- (C)
철저하다	m89	7	徹底- (C)
엄격하다	m89	7	嚴格- (C)
특정하다	m89	7	特定- (C)
진지하다	m89	7	眞摯- (C)
도저히	m89	7	到底- (C)
가령	m89	7	假令 (C)
예컨대	m89	7	例- (C)
더욱이	m89	7	부 (C)
나란히	m89	7	부 (C)
기업	m90	7	企業 (C)
선거	m90	7	選擧 (C)
의원	m90	7	議員 (C)
국회	m90	7	國會 (C)
장관	m90	7	長官 (C)
정당	m90	7	政黨 (C)
